NUMBER,IDSW,ENGLISH,INDONESIAN,FORM,ORIGINAL_FORM,LANGUAGE,LOCATION,LONGITUDE,LATITUDE,GENDER,RECORDED,MEDIALINK,REGISTER,EXCLUDE,REFERENCE,GRAMMAR_COMMENT,PRONUNCIATION_COMMENT,TRANSLATION_COMMENT,EDITING_COMMENT,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,HOLLE,SIL,REID,BLUST,LIST,SWA100,GUD200
0001,04.110,body,"badan, tubuh",alae,alae  p45,Taje,Petapa,120.1238,-0.7782,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0001,001,28.0,0.0,,,
0002,04.200,head,kepala,ßa'i,ßa'i,Taje,Petapa,120.1238,-0.7782,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0002,002,134.0,24.0,C116 D37 E108 F107 G116,38.0,67.0
0003,04.202,skull,"tengkorak, tempurung kepala  ->08.832",ßelinga nu ßa'i,ßelinga nu ßa'i,Taje,Petapa,120.1238,-0.7782,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0005,003,0.0,0.0,,,
0004,04.203,brain,otak,unto,unto -nya,Taje,Petapa,120.1238,-0.7782,,True,,,False,nan,-nya,,,,bodyparts,noun,,anggota tubuh,0036,004*,32.0,0.0,,,
0005,04.140,"hair (head, not body)",rambut  ->04.144,ßa'i,ßa'i,Taje,Petapa,120.1238,-0.7782,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0006,005,131.0,26.0,C109 D36 E106 F105 G114,37.0,64.0
0006,04.205,forehead,dahi,ire,ire,Taje,Petapa,120.1238,-0.7782,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0004,007,119.0,0.0,,,
0007,04.201,temple,pelipis,tantangisa,tantangisa  p73,Taje,Petapa,120.1238,-0.7782,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,,013,0.0,0.0,,,
0008,04.204,face,"muka, wajah",lio,lio,Taje,Petapa,120.1238,-0.7782,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0003,006*,99.0,0.0,C133 E124 F108 G117,,
0009,04.210,eye,mata,mata,mata,Taje,Petapa,120.1238,-0.7782,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0011,008,96.0,45.0,C118 D39 E110 F109 G118,40.0,39.0
0010a,04.217,pupil (eye),manik mata,mata petau,mata petau p73,Taje,Petapa,120.1238,-0.7782,,True,,,False,nan,,,,,,noun,,,,,0.0,0.0,,,
0011,04.212,eyebrow,"kening, alis mata",tutubi nu mata,tutubi nu mata,Taje,Petapa,120.1238,-0.7782,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0015,010*,97.0,0.0,,,
0012,04.214,eyelashes,bulu mata,ßulu nu mata,ßulu nu mata [F],Taje,Petapa,120.1238,-0.7782,,True,,,False,nan,,[F],,,bodyparts,noun,,anggota tubuh,0013,011,98.0,0.0,,,
0013,16.380,tear (from crying),air mata,junya nu mata,junya nu mata  p73,Taje,Petapa,120.1238,-0.7782,,True,,,False,nan,,,,,body,noun,,anggota tubuh,0016/17,012,303.0,0.0,,,
0015,04.220,ear,telinga,talinga,talinga  p59,Taje,Petapa,120.1238,-0.7782,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0009,022,85.0,43.0,C117 D38 E109 F115 G124,39.0,35.0
0015a,04.221,ear lobe,cuping,dompe talinga,dompe talinga,Taje,Petapa,120.1238,-0.7782,,True,,,False,nan,,,,,,noun,,,,,0.0,0.0,,,
0016,04.222,earwax,tahi telinga,tai ntuli,tai ntuli,Taje,Petapa,120.1238,-0.7782,,True,,,False,nan,,,,,bodyparts,noun,,,0010,,0.0,0.0,,,
0017,04.240,mouth,mulut,ngunju,ngunju,Taje,Petapa,120.1238,-0.7782,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0022,017*,187.0,30.0,C120 D41 E112 F111 G120,42.0,98.0
0018,04.250,lip,bibir,ßißi,ßißi   +SGA,Taje,Petapa,120.1238,-0.7782,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0025/26,018*,168.0,0.0,C121 E113 F112 G121,,
0019,04.260,tongue,lidah,oyo,oyo,Taje,Petapa,120.1238,-0.7782,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0031,019,323.0,32.0,C123 D43 E115 F114 G123,44.0,172.0
0020,04.270,tooth,gigi,ngisi,ngisi,Taje,Petapa,120.1238,-0.7782,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0033,020,304.0,31.0,C122 D42 E114 F113 G122,43.0,173.0
0021,04.230,nose,hidung,enge,enge,Taje,Petapa,120.1238,-0.7782,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0018,014,200.0,27.0,C119 D40 E111 F110 G119,41.0,106.0
0023,04.208,cheek,pipi,pimpi,pimpi,Taje,Petapa,120.1238,-0.7782,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0021,015,45.0,0.0,,,
