NUMBER,IDSW,ENGLISH,INDONESIAN,FORM,ORIGINAL_FORM,LANGUAGE,LOCATION,LONGITUDE,LATITUDE,GENDER,RECORDED,MEDIALINK,REGISTER,EXCLUDE,REFERENCE,GRAMMAR_COMMENT,PRONUNCIATION_COMMENT,TRANSLATION_COMMENT,EDITING_COMMENT,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,HOLLE,SIL,REID,BLUST,LIST,SWA100,GUD200
1227,14.155,"long (of duration), old (objects)",lama,tiu,tiu mV- -mo  +SLG +LBH +OYM~,Dondo,Salugan,120.8462,0.9142,,False,,,False,nan,mV- -mo    ,,,,,stative,,kata sifat,1151,269*,204.0,0.0,,,
1227,14.155,"long (of duration), old (objects)",lama,tiu,tiu mV- -mo  +SLG +LBH +OYM~,Dondo,Lemba Harapan,120.3236,0.8088,,False,,,False,nan,mV- -mo    ,,,,,stative,,kata sifat,1151,269*,204.0,0.0,,,
1227,14.155,"long (of duration), old (objects)",lama,tiu,tiu mV- -mo  +SLG +LBH +OYM~,Dondo,Oyom,120.8834,0.9103,,False,,,False,nan,mV- -mo    ,,,,,stative,,kata sifat,1151,269*,204.0,0.0,,,
1228,14.150,old,tua ->04.141,isi,"isi  mV- mV-RDP2  -mo p2 93 +LBH, GIO: gulang mV- p6 +SLG +DLU~ +OYM~",Dondo,Lemba Harapan,120.3236,0.8088,,True,,,False,nan,mV- mV-RDP2  -mo ,,,,,stative,state,kata sifat,1150,270*,205.0,162.0,,,108.0
1228,14.150,old,tua ->04.141,gulang,"isi  mV- mV-RDP2  -mo p2 93 +LBH, GIO: gulang mV- p6 +SLG +DLU~ +OYM~",Dondo,Salugan,120.8462,0.9142,,False,,,False,nan,mV-    ,,,,,stative,state,kata sifat,1150,270*,205.0,162.0,,,108.0
1228,14.150,old,tua ->04.141,gulang,"isi  mV- mV-RDP2  -mo p2 93 +LBH, GIO: gulang mV- p6 +SLG +DLU~ +OYM~",Dondo,Dulu/Lakatan,120.84,1.0944,,False,,,False,nan,mV-    ,,,,,stative,state,kata sifat,1150,270*,205.0,162.0,,,108.0
1228,14.150,old,tua ->04.141,gulang,"isi  mV- mV-RDP2  -mo p2 93 +LBH, GIO: gulang mV- p6 +SLG +DLU~ +OYM~",Dondo,Oyom,120.8834,0.9103,,False,,,False,nan,mV-    ,,,,,stative,state,kata sifat,1150,270*,205.0,162.0,,,108.0
1229,12.630,thick (object),tebal,'apal,apaL / 'apal mV-E pa'a-~   +LBH +GIO +SLG +DLU~ +BBA~,Dondo,Lemba Harapan,120.3236,0.8088,,False,,,False,nan,mV-E pa'a-       ,,,,,stative,property,kata sifat,1068,271,308.0,157.0,,,164.0
1229,12.630,thick (object),tebal,'apal,apaL / 'apal mV-E pa'a-~   +LBH +GIO +SLG +DLU~ +BBA~,Dondo,Gio,121.1257,1.2632,,False,,,False,nan,mV-E pa'a-       ,,,,,stative,property,kata sifat,1068,271,308.0,157.0,,,164.0
1229,12.630,thick (object),tebal,'apal,apaL / 'apal mV-E pa'a-~   +LBH +GIO +SLG +DLU~ +BBA~,Dondo,Salugan,120.8462,0.9142,,False,,,False,nan,mV-E pa'a-       ,,,,,stative,property,kata sifat,1068,271,308.0,157.0,,,164.0
1229,12.630,thick (object),tebal,'apal,apaL / 'apal mV-E pa'a-~   +LBH +GIO +SLG +DLU~ +BBA~,Dondo,Dulu/Lakatan,120.84,1.0944,,False,,,False,nan,mV-E pa'a-       ,,,,,stative,property,kata sifat,1068,271,308.0,157.0,,,164.0
1229,12.630,thick (object),tebal,'apal,apaL / 'apal mV-E pa'a-~   +LBH +GIO +SLG +DLU~ +BBA~,Dondo,Bonto' Buaya,120.8379,1.1959,,False,,,False,nan,mV-E pa'a-       ,,,,,stative,property,kata sifat,1068,271,308.0,157.0,,,164.0
1230,12.650,thin (object),tipis,nimpis,nimpis mV-/E mV-RDP1-E pepe'e- pe'e- 93 +SLG +LBH,Dondo,Salugan,120.8462,0.9142,,True,,,False,nan,mV-/E mV-RDP1-E pepe'e- pe'e- ,,,,,stative,prop / sta,kata sifat,1070,272,310.0,156.0,,,165.0
1230,12.650,thin (object),tipis,nimpis,nimpis mV-/E mV-RDP1-E pepe'e- pe'e- 93 +SLG +LBH,Dondo,Lemba Harapan,120.3236,0.8088,,True,,,False,nan,mV-/E mV-RDP1-E pepe'e- pe'e- ,,,,,stative,prop / sta,kata sifat,1070,272,310.0,156.0,,,165.0
