NUMBER,IDSW,ENGLISH,INDONESIAN,FORM,ORIGINAL_FORM,LANGUAGE,LOCATION,LONGITUDE,LATITUDE,GENDER,RECORDED,MEDIALINK,REGISTER,EXCLUDE,REFERENCE,GRAMMAR_COMMENT,PRONUNCIATION_COMMENT,TRANSLATION_COMMENT,EDITING_COMMENT,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,HOLLE,SIL,REID,BLUST,LIST,SWA100,GUD200
0802,10.830,"canoe, boat",perahu,payangan,payangan   93/10  +BBG,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,farming,noun,,buatan manusia,1033,226*,41.0,0.0,C164 E149 F148 G160,,
0803,10.840,raft,rakit,ga'itan,ga'itan  +BBG,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,farming,noun,,buatan manusia,1050,228,223.0,0.0,,,
0804,10.890,anchor,sauh,tapu,"tapu, balango ~",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,farming,noun,,,1049,,0.0,0.0,,,
0804,10.890,anchor,sauh,balango,"tapu, balango ~",Lauje,Palasa/Tinombo,120.2869,0.3892,,False,,,False,nan,,,,,farming,noun,,,1049,,0.0,0.0,,,
0805,10.870,mast,tiang perahu,pantidoang,pantidoang,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,farming,noun,,,1035,,0.0,0.0,,,
0806,08.130,"garden, dry rice/corn field","kebun, ladang",jo'ong E,"jo'ong E  +BBG, onjoang 'V- (sebelah bawah) =12.070 93V",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,farming,noun,,,0653/655,254*,300.0,0.0,Z8.12 swidden (field) dry,,
0806,08.130,"garden, dry rice/corn field","kebun, ladang",onjoang,"jo'ong E  +BBG, onjoang 'V- (sebelah bawah) =12.070 93V",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,=12.070,'V-   ,,(sebelah bawah),,farming,noun,,,0653/655,254*,300.0,0.0,Z8.12 swidden (field) dry,,
0807,08.530,"plant, vegetation",tumbuhan,gayap E,gayap E,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,farming,noun,,,0660,,0.0,0.0,,,
0808,08.325,pick,petik  memetik,lolu,lolu më- i-,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,më- i-,,,,farming,tr,action,,0673,,0.0,0.0,,,
0809,08.150,"till, cultivate","mengerjakan tanah (pacul, cangkul)",gama,"gama p35 me-~ me-RDP1~ (derivations with me- are specific to work in garden) 93P, pangki moN-  -in-  ~ (rumput) 93P",Lauje,Palasa/Tinombo,120.2869,0.3892,,False,,,False,nan,me- me-RDP1  ,,(derivations with me- are specific to work in garden),,farming,intr,action,,0641,,0.0,0.0,,,
0809,08.150,"till, cultivate","mengerjakan tanah (pacul, cangkul)",pangki,"gama p35 me-~ me-RDP1~ (derivations with me- are specific to work in garden) 93P, pangki moN-  -in-  ~ (rumput) 93P",Lauje,Palasa/Tinombo,120.2869,0.3892,,False,,,False,nan,moN-  -in-    ,,(rumput),,farming,intr,action,,0641,,0.0,0.0,,,
