NUMBER,IDSW,ENGLISH,INDONESIAN,FORM,ORIGINAL_FORM,LANGUAGE,LOCATION,LONGITUDE,LATITUDE,GENDER,RECORDED,MEDIALINK,REGISTER,EXCLUDE,REFERENCE,GRAMMAR_COMMENT,PRONUNCIATION_COMMENT,TRANSLATION_COMMENT,EDITING_COMMENT,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,HOLLE,SIL,REID,BLUST,LIST,SWA100,GUD200
0030,04.362,"popliteal space, back of the knee#",(pe)lipatan lutut,Tanampedagi,alingkot u= +SDL/TPD,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0092,042*,0.0,0.0,,,
0031,04.371,"joint (ankle, elbow, wrist)","sendi, pergelangan (kaki, tangan, etc)",losung,"losung, laca' posilaca'ang p22",Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0088,043*,5.0,0.0,,,
0031,04.371,"joint (ankle, elbow, wrist)","sendi, pergelangan (kaki, tangan, etc)",laca' posilaca'ang,"losung, laca' posilaca'ang p22",Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0088,043*,5.0,0.0,,,
0031a,04.376,ankle,"mata kaki, buku lali",bulali,bulali  p13 [b],Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,[b],,,,,,,,,0.0,0.0,,,
0032,04.372,heel,tumit,tojung,tojung,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0089,045,138.0,0.0,,,
0033,04.330,hand,tangan,lima,lima,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0097,027*,132.0,1.0,C127 D47 E119 F119 G128,48.0,65.0
0034,04.331,palm of the hand,tapak tangan,pale',pale'  -onyo,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,-onyo,,,,bodyparts,noun,,anggota tubuh,0102,028,210.0,0.0,,,
0035,12.541,span (eight inches),jengkal,sanjangan,sanjangan  p43,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,,,,anggota tubuh,,029,279.0,0.0,,,
0036,04.340,finger,jari,bua nu lima,bua nu lima  [b],Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,[b],,,bodyparts,noun,,anggota tubuh,0104,030,110.0,0.0,,,
0037,04.342,thumb,ibu jari,siina nu lima,siina nu lima,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0108,031,0.0,0.0,,,
0038,04.343,"pinky, little finger",jari kelingking,konjili,konjili  -nyo,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,-nyo,,,,bodyparts,noun,,anggota tubuh,0112,032,0.0,0.0,,,
0039,04.344,fingernail,kuku jari,'umbung,'umbung,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0107,033,111.0,0.0,C124 D44 E116 F120 G129,,
0040,04.320,elbow,siku,si'u,si'u,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0100,026,94.0,0.0,,,
0041,04.310,arm,lengan,lima,lima  ~,Ampi,Ampibabo,120.0659,-0.4526,,False,,,False,nan,,,,,bodyparts,noun,,,0095,,0.0,0.0,,,
0042,04.400,chest,dada,dodob,dodob,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0041/42,035,46.0,0.0,,,
0043,04.410,breast,"susu, buah dada",susu,susu,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0044,036*,34.0,18.0,C130 D50 E122 G126 Sa18,51.0,
0044,04.412,nipple,puting susu,ngunju nu susu,ngunju nu susu,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,,0045,,0.0,0.0,,,
0045,04.411,suck at the breast,susu  menyusu,susu,susu moN- moN--i ni--i,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,moN- moN--i ni--i,,,,body,intr,action,,0048,,0.0,0.0,,,
0046,04.415,milk,air susu,ju nu susu,ju nu susu,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,body,noun,mass,,0046,,0.0,0.0,,,
0047,04.280,neck,leher,botobuu,botobuu  -nyo  [b],Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,-nyo  ,[b],,,bodyparts,noun,,anggota tubuh,0038,023*,192.0,25.0,C129 D49 E121 F116 G125,50.0,103.0
0049,04.191,upper back,punggung atas,te'e,te'e  (antara punggung dan pinggang),Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,(antara punggung dan pinggang),,bodyparts,noun,,anggota tubuh,0063,034*,11.0,13.0,,,6.0
0049a,04.190,back,punggung (leher ke tulang ekor),bungkut,bungkut  [b],Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,[b],,,,noun,,,0063a,,0.0,0.0,,,
0049b,04.192,"backbone, spine",tulang punggung,bu'u nu bungkut,bu'u nu bungkut  [b],Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,[b],,,bodyparts,noun,,anggota tubuh,0064,,0.0,0.0,,,
0050,04.435,belly,perut,'ompong,'ompong,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0054,037*,16.0,14.0,C128 D48 E120 F117 G127 Z4.46A,49.0,10.0
0051,04.144,body hair,bulu (badan)  ->04.140,bulu [b,bulu [b/ß],Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0122,047*,0.0,0.0,C115 E107 F106 G115,,
0051,04.144,body hair,bulu (badan)  ->04.140,ß],bulu [b/ß],Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0122,047*,0.0,0.0,C115 E107 F106 G115,,
0052,04.300,shoulder,bahu,palu'a,palu'a,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0065,025,261.0,19.0,,,
0053a,04.302,collarbone,tulang selangka,loloigi,loloigi  [1. loligi],Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,[1. loligi],,,bodyparts,noun,,,,,0.0,0.0,,,
0054,04.351,thigh,paha,palanga,palanga,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0090,039,309.0,0.0,,,
0055,04.120,skin (person),kulit,'uli,'uli -nyo,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,-nyo,,,,bodyparts,noun,,anggota tubuh,0121,048,265.0,12.0,C117 D27 E101 F100 G107,28.0,137.0
0056,04.160,bone,tulang,bu'u,bu'u  [b],Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,[b],,,bodyparts,noun,,anggota tubuh,0115,051,31.0,15.0,C112 D30 E104 F104 G113,31.0,17.0
0057,04.162,rib,tulang rusuk,bu'u nu usu',bu'u nu usu' [b],Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,[b],,,bodyparts,noun,,anggota tubuh,0050,052,232.0,0.0,,,
0057a,04.163,"breastbone, sternum",tulang dada,bu'u nu dodob,bu'u nu dodob [b],Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,[b],,,bodyparts,noun,,anggota tubuh,,,0.0,0.0,,,
0058,04.440,heart,jantung ->08.845,nganga nu ate,nganga nu ate,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0052,053*,136.0,0.0,C132 D51 G111,52.0,69.0
0059,04.150,blood,darah,laa,laa -onyo,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,-onyo,,,,body,noun,mass,anggota tubuh,0116,054,26.0,23.0,C111 D29 E103 F103 G110,30.0,15.0
0060,04.454,"gall, bile",empedu,poyu,poyu,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0057,057*,0.0,0.0,,,
0061,04.461,"intestines, guts (G)","usus, isi perut (w)",tailiko,tailiko,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0055,059*,150.0,16.0,,,63.0
0062,04.451,kidney,"buah pinggang, ginjal",buusu',"buusu' [ß]  (?), nuusu' -onyo (?)",Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,[ß],(?),,bodyparts,noun,,,0059,,0.0,0.0,,,
0062,04.451,kidney,"buah pinggang, ginjal",nuusu',"buusu' [ß]  (?), nuusu' -onyo (?)",Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,-onyo ,,(?),,bodyparts,noun,,,0059,,0.0,0.0,,,
0063,04.450,liver,hati,ate u=,ate u=,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0056,056*,170.0,17.0,C131 D52 E123 F118 G112,53.0,90.0
0064,04.441,lungs,paru-paru,ate bula  [b,ate bula  [b/ß],Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0051,058,175.0,0.0,,,
0064,04.441,lungs,paru-paru,ß],ate bula  [b/ß],Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0051,058,175.0,0.0,,,
0065,04.130,"flesh, meat",daging (mentah),isi u=,isi u=,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0539/01,049*,0.0,103.0,C110 D28 E102 F102 G108,29.0,95.0
0066,04.492,penis,kemaluan laki-laki,uti u=,"uti u=, tabu  [b]",Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0077,064*,213.0,0.0,,,
0066,04.492,penis,kemaluan laki-laki,tabu,"uti u=, tabu  [b]",Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,[b],,,bodyparts,noun,,anggota tubuh,0077,064*,213.0,0.0,,,
0067,04.490,testicle,buah pelir,buas tabu [b,"buas tabu [b,ß]   buas tabuum  [b,b] (invective)",Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,,0079,,0.0,0.0,,,
0067,04.490,testicle,buah pelir,ß]   buas tabuum  [b,"buas tabu [b,ß]   buas tabuum  [b,b] (invective)",Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,,0079,,0.0,0.0,,,
0067,04.490,testicle,buah pelir,b],"buas tabu [b,ß]   buas tabuum  [b,b] (invective)",Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,(invective),,bodyparts,noun,,,0079,,0.0,0.0,,,
0069,04.480,vagina,kemaluan perempuan,lei    buas leiim,lei    buas leiim (invective),Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,(invective),,bodyparts,noun,,anggota tubuh,0078,065,333.0,0.0,,,
0070,04.670,have sexual intercourse,tubuh  bersetubuh (manusia) ->03.115,enju,enju ni- me--ang  ~ p26,Ampi,Ampibabo,120.0659,-0.4526,,False,,,False,nan,ni- me--ang   ,,,,body,intr / ref,action,,0080,,0.0,0.0,,,
0075,04.720,give birth to,lahir  melahirkan  dilahirkan  #,unga,"unga mo--ong ""beranak"" nipogu--a' mompogu- mompopogu-",Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,mo--ong  nipogu--a' mompogu- mompopogu-,,"""beranak""",,body,tr,action,,0413/01,,0.0,0.0,,,
0076,04.470,womb,"kandungan, rahim ->02.270",lau 'ompong,lau 'ompong,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,,,,0.0,0.0,,,
0080,04.465,anus,"dubur, lubang pantat",lulu tai,lulu tai,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0071,061*,7.0,0.0,,,
0081,04.464,buttocks,"pantat, bokong",tebe,tebe [2. teße] -nyo,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,-nyo,[2. teße],,,bodyparts,noun,,anggota tubuh,0069,060,38.0,0.0,,,
0084,04.650,urinate,kencing (k.k.),mee,mee me- me'e--ang nipemeang p25,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,me- me'e--ang nipemeang ,,,,body,intr,action,,0082,,0.0,0.0,,,
0087,04.334,lines in the palm of the hand,rajah tangan  ->04.155,uat u lima  u=,uat u lima  u=,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,,0103,,0.0,0.0,,,
0087a,04.335,fist,"tinju, kepalan",'omus,"'omus -i  'o'omusang ""1. berkeluk, 2. saling bertinju"" ni--ang ""dirangkul""  moN- ""memeluk"", janggur ->09.215",Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,"-i  'o'omusang ""1. berkeluk",,,,bodyparts,noun,,,,,0.0,0.0,,,
