NUMBER,IDSW,ENGLISH,INDONESIAN,FORM,ORIGINAL_FORM,LANGUAGE,LOCATION,LONGITUDE,LATITUDE,GENDER,RECORDED,MEDIALINK,REGISTER,EXCLUDE,REFERENCE,GRAMMAR_COMMENT,PRONUNCIATION_COMMENT,TRANSLATION_COMMENT,EDITING_COMMENT,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,HOLLE,SIL,REID,BLUST,LIST,SWA100,GUD200
0487,10.712,"trail, track",jalanan,peliuong,"peliuong  ->10.555 93/p, DMB: jalang",Dampelas,Talaga,119.8558,0.1985,,True,,,False,->10.555,,,,,cosmos,noun,action<,buatan manusia,,255*,324.0,6.0,C163 D98 E148 F147 G159,85.0,120.0
0487,10.712,"trail, track",jalanan,jalang,"peliuong  ->10.555 93/p, DMB: jalang",Dampelas,Dampla in Bangkir,120.2287,0.7803,,True,,,False,nan,,,,,cosmos,noun,action<,buatan manusia,,255*,324.0,6.0,C163 D98 E148 F147 G159,85.0,120.0
0488,10.710,road,jalan,jalang,"jalang, DMB: jama p27",Dampelas,Talaga,119.8558,0.1985,,True,,,False,nan,,,,,cosmos,noun,,,0959,,0.0,0.0,,,
0488,10.710,road,jalan,jama,"jalang, DMB: jama p27",Dampelas,Dampla in Bangkir,120.2287,0.7803,,True,,,False,nan,,,,,cosmos,noun,,,0959,,0.0,0.0,,,
0489,10.740,bridge,jembatan,tentean,"tentean  DMO: tintean~, jambatang",Dampelas,Talaga,119.8558,0.1985,,True,,,False,nan,,,,,cosmos,noun,,,0964,,0.0,0.0,,,
0489,10.740,bridge,jembatan,tintean,"tentean  DMO: tintean~, jambatang",Dampelas,Dampal in Ogoamas,120.1323,0.7371,,False,,,False,nan,,,,,cosmos,noun,,,0964,,0.0,0.0,,,
0489,10.740,bridge,jembatan,jambatang,"tentean  DMO: tintean~, jambatang",Dampelas,Talaga,119.8558,0.1985,,True,,,False,nan,,,,,cosmos,noun,,,0964,,0.0,0.0,,,
0490,04.374,"trace,  (foot)print","bekas (kaki), jejak ->04.855",laab,laab  +DMO,Dampelas,Talaga,119.8558,0.1985,,True,,,False,nan,,,,,cosmos,noun,,,0961,,0.0,0.0,,,
0491,01.445,lime,kapur,toíla,toíla -nya  +DMB,Dampelas,Talaga,119.8558,0.1985,,True,,,False,nan,-nya  ,,,,cosmos,noun,,alam dunia,0728,214,167.0,0.0,,,
0491a,09.640,gold,emas,bulaan,bulaan,Dampelas,Talaga,119.8558,0.1985,,True,,,False,nan,,,,,cosmos,noun,,alam dunia,,,0.0,0.0,,,
0492,01.213,dust,debu  ->01.840,singkabung,"singkabung  93/14, DMB: abu ~",Dampelas,Talaga,119.8558,0.1985,,True,,,False,nan,,,,,,noun,,alam dunia,,212*,84.0,11.0,,,34.0
0492,01.213,dust,debu  ->01.840,abu,"singkabung  93/14, DMB: abu ~",Dampelas,Dampla in Bangkir,120.2287,0.7803,,False,,,False,nan,,,,,,noun,,alam dunia,,212*,84.0,11.0,,,34.0
0493,01.214,mud,"lumpur, pecek",rëmpë,"rëmpë mV- 93/23  +DMB, hëno",Dampelas,Talaga,119.8558,0.1985,,True,,,False,nan,mV-   ,,,,cosmos,noun,,alam dunia,0960,196,188.0,0.0,,,
0493,01.214,mud,"lumpur, pecek",hëno,"rëmpë mV- 93/23  +DMB, hëno",Dampelas,Talaga,119.8558,0.1985,,True,,,False,nan,,,,,cosmos,noun,,alam dunia,0960,196,188.0,0.0,,,
0494,01.215,sand,pasir,domayas,domayas  +DMB  +DMO,Dampelas,Talaga,119.8558,0.1985,,True,,,False,nan,,,,,cosmos,noun,,alam dunia,0971,195,246.0,121.0,C35 D76 E30 F32 G34,78.0,126.0
0495,01.440,stone,batu,polu,polu  +DMB,Dampelas,Talaga,119.8558,0.1985,,True,,,False,nan,,,,,cosmos,noun,,alam dunia,0969,213,288.0,120.0,C34 D75 E29 F31 G33,77.0,154.0
0496,01.510,sky,langit ->01.560,gorung,gorung  +DMB,Dampelas,Talaga,119.8558,0.1985,,True,,,False,nan,,,,,cosmos,noun,,alam dunia,0905,184*,267.0,128.0,,,138.0
0497,01.520,sun,matahari ->14.410,mata se'at,mata se'at  DMB: mata nu se'at,Dampelas,Talaga,119.8558,0.1985,,True,,,False,nan,,,,,cosmos,noun,,alam dunia,0906,181,0.0,0.0,C28 D70 E23 F20 G27,72.0,157.0
0497,01.520,sun,matahari ->14.410,mata nu se'at,mata se'at  DMB: mata nu se'at,Dampelas,Dampla in Bangkir,120.2287,0.7803,,True,,,False,nan,,,,,cosmos,noun,,alam dunia,0906,181,0.0,0.0,C28 D70 E23 F20 G27,72.0,157.0
0498,01.530,moon,bulan,bulang,bulang   DMB: bubulan,Dampelas,Talaga,119.8558,0.1985,,True,,,False,nan,,,,,cosmos,noun,,alam dunia,0908,182*,181.0,129.0,C29 D71 E24 F21 G28 Sa107,73.0,
0498,01.530,moon,bulan,bubulan,bulang   DMB: bubulan,Dampelas,Dampla in Bangkir,120.2287,0.7803,,True,,,False,nan,,,,,cosmos,noun,,alam dunia,0908,182*,181.0,129.0,C29 D71 E24 F21 G28 Sa107,73.0,
0499,01.540,star,bintang,betuong,betuong  DMB: bituong,Dampelas,Talaga,119.8558,0.1985,,True,,,False,nan,,,,,cosmos,noun,,alam dunia,0912,183,285.0,130.0,C30 D72 E25 F22 G29,74.0,152.0
0499,01.540,star,bintang,bituong,betuong  DMB: bituong,Dampelas,Dampla in Bangkir,120.2287,0.7803,,True,,,False,nan,,,,,cosmos,noun,,alam dunia,0912,183,285.0,130.0,C30 D72 E25 F22 G29,74.0,152.0
