NUMBER,IDSW,ENGLISH,INDONESIAN,FORM,ORIGINAL_FORM,LANGUAGE,LOCATION,LONGITUDE,LATITUDE,GENDER,RECORDED,MEDIALINK,REGISTER,EXCLUDE,REFERENCE,GRAMMAR_COMMENT,PRONUNCIATION_COMMENT,TRANSLATION_COMMENT,EDITING_COMMENT,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,HOLLE,SIL,REID,BLUST,LIST,SWA100,GUD200
1284,17.590,although,meskipun,teinuma'o,"teinuma'o ~, ompojamo",Tajio,Sienjo,120.0050, -0.3049,,False,,,False,nan,,,,,conjunctio,adv / qual,,,1484,,0.0,0.0,,,
1284,17.590,although,meskipun,ompojamo,"teinuma'o ~, ompojamo",Tajio,Sienjo,120.0050, -0.3049,,True,,,False,nan,,,,,conjunctio,adv / qual,,,1484,,0.0,0.0,,,
1286,17.560,"no, not",tidak,jio,jio / jo  +MLI: ajio  p109,Tajio,Sienjo,120.0050, -0.3049,,True,,,False,nan,,,,,,adv / qual,,tata bahasa,1473,314*,202.0,195.0,C95 D95 E88 F88 G93,8.0,107.0
1286,17.560,"no, not",tidak,jo,jio / jo  +MLI: ajio  p109,Tajio,Sienjo,120.0050, -0.3049,,True,,,False,nan,,,,,,adv / qual,,tata bahasa,1473,314*,202.0,195.0,C95 D95 E88 F88 G93,8.0,107.0
1286,17.560,"no, not",tidak,ajio,jio / jo  +MLI: ajio  p109,Tajio,Maninili,120.1077,0.0521,,True,,,False,nan,,,,,,adv / qual,,tata bahasa,1473,314*,202.0,195.0,C95 D95 E88 F88 G93,8.0,107.0
1287,17.575,"none, there are not",tidak ada,jo,jo/jio aanya  MLI: ajio aanya  p112,Tajio,Sienjo,120.0050, -0.3049,,True,,,False,nan,,,,,,adv / qual,,tata bahasa,1343,315*,198.0,0.0,,,
1287,17.575,"none, there are not",tidak ada,jio aanya,jo/jio aanya  MLI: ajio aanya  p112,Tajio,Sienjo,120.0050, -0.3049,,True,,,False,nan,,,,,,adv / qual,,tata bahasa,1343,315*,198.0,0.0,,,
1287,17.575,"none, there are not",tidak ada,ajio aanya,jo/jio aanya  MLI: ajio aanya  p112,Tajio,Maninili,120.1077,0.0521,,True,,,False,nan,,,,,,adv / qual,,tata bahasa,1343,315*,198.0,0.0,,,
1288,17.570,there is/are,ada,aanya,aanya  +MLI,Tajio,Sienjo,120.0050, -0.3049,,True,,,False,nan,,,,,,adv / qual,,,1342,,0.0,0.0,,,
1289,17.550,yes,ya,oye,oye,Tajio,Sienjo,120.0050, -0.3049,,True,,,False,nan,,,,,,adv / qual,,,1472,,0.0,0.0,,,
1290,17.565,don't (negative imperative),jangan,nyaa,nyaa,Tajio,Sienjo,120.0050, -0.3049,,True,,,False,nan,,,,,,adv / qual,,,1475,,0.0,0.0,Z: not [future verb]*he(n)+di',,
1291,13.181,"some, a few",beberapa,,soía-soía,Tajio,Sienjo,120.0050, -0.3049,,True,,,False,nan,soía-soía,,,,,adv / qual,,,1356,,0.0,0.0,,,146.0
1292,13.240,half,setengah,santanga,santanga,Tajio,Sienjo,120.0050, -0.3049,,True,,,False,nan,,,,,measure,adv / qual,,,1326,,0.0,0.0,,,
1293,17.910,"alike, similar","mirip, sama ->17.950",polimbai,"polimbai te=  mete- ""mirip""",Tajio,Sienjo,120.0050, -0.3049,,True,,,False,nan,te=  mete- ,,"""mirip""",,,adv / qual,,,1353,,0.0,0.0,,,
1294,17.820,almost,hampir ->12.430,kosu',kosu' mV-,Tajio,Sienjo,120.0050, -0.3049,,True,,,False,nan,mV-,,,,,adv / qual,,,1478,,0.0,0.0,,,
1294a,17.825,by a hair's breadth,rambut sehelai,salae FuFut  < lae,"salae FuFut  < lae ""lembar""",Tajio,Sienjo,120.0050, -0.3049,,True,,,False,nan,,,"""lembar""",,,adv / qual,,,,,0.0,0.0,,,
1295,17.370,"certainly, sure",pasti,tutuunya,tutuunya,Tajio,Sienjo,120.0050, -0.3049,,True,,,False,nan,,,,,,adv / qual,,,1466,,0.0,0.0,,,
1296,13.180,enough,cukup,gana',gana' mV-,Tajio,Sienjo,120.0050, -0.3049,,True,,,False,nan,mV-,,,,,stati/adv,state,,1354,,0.0,0.0,,,
1297,13.170,"few, a little",sedikit ->12.560,sedei',sedei',Tajio,Sienjo,120.0050, -0.3049,,True,,,False,nan,,,,,,adv / qual,,,1340,,0.0,0.0,,,46.0
1298,13.165,less,kurang,nague,nague,Tajio,Sienjo,120.0050, -0.3049,,True,,,True,nan,,,,,,adv / qual,,,1349,,0.0,0.0,,,
1299,17.850,maybe,barangkali,elaa,elaa,Tajio,Sienjo,120.0050, -0.3049,,True,,,False,nan,,,,,,adv / qual,,,1467,,0.0,0.0,,,
1300,17.990,more,lebih,nelaabi,nelaabi/nalaabi~,Tajio,Sienjo,120.0050, -0.3049,,True,,,True,nan,,,,,,adv / qual,,,1347,,0.0,0.0,,,
1300,17.990,more,lebih,nalaabi,nelaabi/nalaabi~,Tajio,Sienjo,120.0050, -0.3049,,False,,,True,nan,,,,,,adv / qual,,,1347,,0.0,0.0,,,
1301,17.995,most (superlative),paling,to X pia,to X pia  p97,Tajio,Sienjo,120.0050, -0.3049,,True,,,True,nan,,,,,,adv / qual,,,1348,,0.0,0.0,,,
1302,13.330,"only, merely","hanya, cuma",boi,boi,Tajio,Sienjo,120.0050, -0.3049,,True,,,False,nan,,,,,,adv / qual,,,1477,,0.0,0.0,,,
1303,17.950,together,sama-sama  bersama-sama,mosidoono,mosidoono,Tajio,Sienjo,120.0050, -0.3049,,True,,,False,nan,,,,,,adv / qual,,,1352,,0.0,0.0,,,
1304,17.810,very,sangat,pia,pia,Tajio,Sienjo,120.0050, -0.3049,,True,,,True,nan,,,,,,adv / qual,,,1468,,0.0,0.0,,,
1305,17.930,whole,sama sekali,jo pia aanya,"jo pia aanya ""tak ada sama sekali""",Tajio,Sienjo,120.0050, -0.3049,,True,,,True,nan,,,"""tak ada sama sekali""",,,adv / qual,,,1351,,0.0,0.0,,,
0113,04.610,sleep,tidur   ->07.212,turu,turu mo- nipopo-   +MLI: mo'o- popo'o-  p108,Tajio,Maninili,120.1077,0.0521,,True,,,False,nan,mo- nipopo-   ,,,,body,stative,event,kata kerja,0138,466*,269.0,48.0,C186 E59 E170 F171 G183,60.0,139.0
0122,05.110,eat,makan,inang,inang meN- ni-~ peN--ong (tempat) +MLI: inang/'inang p112,Tajio,Maninili,120.1077,0.0521,,False,,,False,nan,meN- ni- peN--ong  ,,(tempat),,body,tr / intr,action,kata kerja,0128,390,89.0,37.0,C182 D54 E166 F165 G178,55.0,37.0
0129,05.130,drink,minum,inung,inung meN- ro- ni- mengenginung (banyak) +MLI p112,Tajio,Maninili,120.1077,0.0521,,True,,,False,nan,meN- ro- ni- mengenginung   ,,(banyak),,body,tr / intr,action,kata kerja,0130,391,80.0,40.0,C180 D53 E164 F163 G176,54.0,31.0
0146,16.370,cry,tangis  menangis,ronde,ronde mo-  +MLI p110,Tajio,Maninili,120.1077,0.0521,,True,,,False,nan,mo-   ,,,,body,intr,action,kata kerja,0163,380,65.0,34.0,C205 E190 F189 G203,,
0147,16.250,laugh,tawa  tertawa,ngisi,ngisi me- menge-~ (banyak) +MLI: mosi--i me-RDP--ong p110 p112,Tajio,Maninili,120.1077,0.0521,,False,,,False,nan,me- menge-  ,,(banyak),,body,intr,action,kata kerja,0161,381,158.0,33.0,C204 E180 F188 G202,,84.0
