NUMBER,IDSW,ENGLISH,INDONESIAN,FORM,ORIGINAL_FORM,LANGUAGE,LOCATION,LONGITUDE,LATITUDE,GENDER,RECORDED,MEDIALINK,REGISTER,EXCLUDE,REFERENCE,GRAMMAR_COMMENT,PRONUNCIATION_COMMENT,TRANSLATION_COMMENT,EDITING_COMMENT,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,HOLLE,SIL,REID,BLUST,LIST,SWA100,GUD200
1104,14.491,day before yesterday,kemarin dulu,koipuon itu,koipuon itu ~  BTN: kopuon itu [1. kopuontu],Totoli,Panasakan,120.817,1.0518,,False,,,False,nan,,,,,time,adv / qual,,,1419,,0.0,0.0,,,
1104,14.491,day before yesterday,kemarin dulu,kopuon itu,koipuon itu ~  BTN: kopuon itu [1. kopuontu],Totoli,Binontoan,121.1326,1.2872,,True,,,False,nan,,[1. kopuontu],,,time,adv / qual,,,1419,,0.0,0.0,,,
1104a,14.492,three days ago,tiga hari yg lalu,koitoLom,koitoLom ~,Totoli,Panasakan,120.817,1.0518,,False,,,False,nan,,,,,time,adv / qual,,,1419a,,0.0,0.0,,,
1104b,14.493,four days ago,empat hari yg lalu,koipaton,koipaton ~,Totoli,Panasakan,120.817,1.0518,,False,,,False,nan,,,,,time,adv / qual,,,1419b,,0.0,0.0,,,
1105,14.360,"now, already (perfective)",sudah =14.290?#,tookamo,tookamo / ntookamo  93x5,Totoli,Panasakan,120.817,1.0518,,True,,,True,nan,,,,,time,adv / qual,,tata bahasa,1428,319*,203.0,0.0,,,
1105,14.360,"now, already (perfective)",sudah =14.290?#,ntookamo  5,tookamo / ntookamo  93x5,Totoli,Panasakan,120.817,1.0518,,True,,,True,nan,,,,,time,adv / qual,,tata bahasa,1428,319*,203.0,0.0,,,
1106,14.365,not yet,belum,géipo,géipo,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,time,adv / qual,,,1429,,0.0,0.0,,,
1107,14.330,"now and then, occasionally, sometimes",kadang-kadang,mimiinjan,"mimiinjan ~, BTN: komaumana",Totoli,Panasakan,120.817,1.0518,,False,,,False,nan,,,,,time,adv / qual,,,1426,,0.0,0.0,,,
1107,14.330,"now and then, occasionally, sometimes",kadang-kadang,komaumana,"mimiinjan ~, BTN: komaumana",Totoli,Binontoan,121.1326,1.2872,,True,,,False,nan,,,,,time,adv / qual,,,1426,,0.0,0.0,,,
1108,14.370,later,kelak,kodoong,"kodoong ~, BTN: pilan",Totoli,Panasakan,120.817,1.0518,,False,,,False,nan,,,,,time,adv / qual,,,1415,,0.0,0.0,,,
1108,14.370,later,kelak,pilan,"kodoong ~, BTN: pilan",Totoli,Binontoan,121.1326,1.2872,,True,,,False,nan,,,,,time,adv / qual,,,1415,,0.0,0.0,,,
1109,14.350,again,"lagi, kembali",kodoongpo,kodoongpo,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,time,adverb,,,,,0.0,0.0,,,
1110,14.371,shortly,sebentar lagi,geimosa,"geimosa [gemosa], saddek po  p34",Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,[gemosa],,,time,adv / qual,,,1409,,0.0,0.0,,,
1110,14.371,shortly,sebentar lagi,saddek po,"geimosa [gemosa], saddek po  p34",Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,time,adv / qual,,,1409,,0.0,0.0,,,
