NUMBER,IDSW,ENGLISH,INDONESIAN,FORM,ORIGINAL_FORM,LANGUAGE,LOCATION,LONGITUDE,LATITUDE,GENDER,RECORDED,MEDIALINK,REGISTER,EXCLUDE,REFERENCE,GRAMMAR_COMMENT,PRONUNCIATION_COMMENT,TRANSLATION_COMMENT,EDITING_COMMENT,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,HOLLE,SIL,REID,BLUST,LIST,SWA100,GUD200
1163b,,his/her house,rumahnya,tagunya,tagunya,Taje,Tanampedagi,120.0116,-0.4904,,True,,,True,nan,,,,,person,pronoun,,,1377/78,,0.0,0.0,,,
1163c,,their house,rumah mereka,tagu ni jimo,tagu ni jimo,Taje,Tanampedagi,120.0116,-0.4904,,True,,,True,nan,,,,,person,pronoun,,,1375/76,,0.0,0.0,,,
1164,02.910,I,"aku, saya",siau,siau / sau / au   p14  +SGA,Taje,Tanampedagi,120.0116,-0.4904,,True,,,True,nan,,,,,person,pronoun,,kata ganti,1357,097,0.0,182.0,C22 D1 E18 F18 G21,1.0,77.0
1164,02.910,I,"aku, saya",sau,siau / sau / au   p14  +SGA,Taje,Tanampedagi,120.0116,-0.4904,,True,,,True,nan,,,,,person,pronoun,,kata ganti,1357,097,0.0,182.0,C22 D1 E18 F18 G21,1.0,77.0
1164,02.910,I,"aku, saya",au,siau / sau / au   p14  +SGA,Taje,Tanampedagi,120.0116,-0.4904,,True,,,True,nan,,,,,person,pronoun,,kata ganti,1357,097,0.0,182.0,C22 D1 E18 F18 G21,1.0,77.0
1165,02.942,we (excl.),kami,siami,siami  +SGA,Taje,Tanampedagi,120.0116,-0.4904,,True,,,True,nan,,,,,person,pronoun,,kata ganti,1366,100*,0.0,185.0,C25 E21 G24,,
1166,02.941,we (inclusive)/you (polite/for older people),kita,siita,siita  +SGA: ita,Taje,Tanampedagi,120.0116,-0.4904,,True,,,True,nan,,,,,person,pronoun,,kata ganti,1365,101*,0.0,185.0,C26 D3 E22 F19 G25,3.0,182.0
1166,02.941,we (inclusive)/you (polite/for older people),kita,ita,siita  +SGA: ita,Taje,Singura (part of Sienjo),120.0307,-0.3502,,True,,,True,nan,,,,,person,pronoun,,kata ganti,1365,101*,0.0,185.0,C26 D3 E22 F19 G25,3.0,182.0
1167,02.920,"you (fam.), thou","engkau, kamu",sioo,sioo / soo p26  +SGA,Taje,Tanampedagi,120.0116,-0.4904,,True,,,True,nan,,,,,person,pronoun,,kata ganti,1359,098*,0.0,183.0,C23 D2 E19 G22,2.0,168.0
1167,02.920,"you (fam.), thou","engkau, kamu",soo,sioo / soo p26  +SGA,Taje,Tanampedagi,120.0116,-0.4904,,True,,,True,nan,,,,,person,pronoun,,kata ganti,1359,098*,0.0,183.0,C23 D2 E19 G22,2.0,168.0
1168,02.950,"you (plural), ye","kalian, kamu sekalian#",simiu,simiu,Taje,Tanampedagi,120.0116,-0.4904,,True,,,True,nan,,,,,person,pronoun,,kata ganti,1360,102*,0.0,186.0,,,198.0
1169,02.960,they,mereka,jimo,jimo /  jimia,Taje,Tanampedagi,120.0116,-0.4904,,True,,,True,nan,,,,,person,pronoun,,kata ganti,1367/13,103*,0.0,187.0,C27 G26,,163.0
1169,02.960,they,mereka,jimia,jimo /  jimia,Taje,Tanampedagi,120.0116,-0.4904,,True,,,True,nan,,,,,person,pronoun,,kata ganti,1367/13,103*,0.0,187.0,C27 G26,,163.0
1170,02.930,"he, she","dia, ia",siia,siia /  ia,Taje,Tanampedagi,120.0116,-0.4904,,True,,,True,nan,,,,,person,pronoun,,kata ganti,1363/13,099,0.0,184.0,C24 E20 G23,,66.0
1170,02.930,"he, she","dia, ia",ia,siia /  ia,Taje,Tanampedagi,120.0116,-0.4904,,True,,,True,nan,,,,,person,pronoun,,kata ganti,1363/13,099,0.0,184.0,C24 E20 G23,,66.0
1171,,this,ini,ini,"ini, nee +SGA  p88",Taje,Tanampedagi,120.0116,-0.4904,,True,,,True,nan,,,,,,pronoun,,tata bahasa,1383,321*,0.0,177.0,C96 D4 F89 G94,4.0,167.0
1171,,this,ini,nee,"ini, nee +SGA  p88",Taje,Tanampedagi,120.0116,-0.4904,,True,,,True,nan,,,,,,pronoun,,tata bahasa,1383,321*,0.0,177.0,C96 D4 F89 G94,4.0,167.0
1172,,that (nearby),itu (dekatmu),itu,"itu, tee /  te p18  p87",Taje,Tanampedagi,120.0116,-0.4904,,True,,,True,nan,,,,,,pronoun,,tata bahasa,1384,322*,0.0,178.0,C97 D5 E89 F90 G95,5.0,161.0
1172,,that (nearby),itu (dekatmu),tee,"itu, tee /  te p18  p87",Taje,Tanampedagi,120.0116,-0.4904,,True,,,True,nan,,,,,,pronoun,,tata bahasa,1384,322*,0.0,178.0,C97 D5 E89 F90 G95,5.0,161.0
1172,,that (nearby),itu (dekatmu),te,"itu, tee /  te p18  p87",Taje,Tanampedagi,120.0116,-0.4904,,True,,,True,nan,,,,,,pronoun,,tata bahasa,1384,322*,0.0,178.0,C97 D5 E89 F90 G95,5.0,161.0
1173,,that distant,itu yang jauh,mai,mai  p88,Taje,Tanampedagi,120.0116,-0.4904,,True,,,True,nan,,,,,,pronoun,,tata bahasa,,323*,0.0,172.0,,,
1176,17.700,whatever you call it,anu,sisanu,sisanu p88,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,,,tata bahasa,,318,351.0,0.0,,,
1178,17.640,what?,apa?,sapa,sapa  p26,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,pronoun,,kata tanya,1380,482*,350.0,188.0,C172 D7 E157 F156 G168,7.0,184.0
1179,17.680,who?,siapa?,sisee,sisee   p19  +SGA,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,pronoun,,kata tanya,1379,483*,355.0,189.0,C173 D6 E158 F157 G169,6.0,188.0
1180,17.690,why?,"mengapa?, kenapa?  !NB: also do what? #",nouya,nouya  p88,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,adv / qual,,kata tanya,1465,488*,0.0,0.0,C175 E160 F159 G172,,
1181,17.650,when?,kapan?,soambengipo,"soambengipo, maimpia ~",Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,time,adv / qual,,kata tanya,1427,485,352.0,170.0,,,185.0
1181,17.650,when?,kapan?,maimpia,"soambengipo, maimpia ~",Taje,Tanampedagi,120.0116,-0.4904,,False,,,False,nan,,,,,time,adv / qual,,kata tanya,1427,485,352.0,170.0,,,185.0
1182,17.660,where?,di mana?,ruunya,"ruunya -mo  p17/26, rimao p26",Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,-mo  ,,,,space,adv / qual,,kata tanya,1460,484,353.0,181.0,C174 E159 F158 G170,,186.0
